,ts-travel2-service-5c66d57d58-zxw8n,ts-gateway-service-6f6cfc45b-d9pnv,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,ts-train-service-86f5f97bc9-tlpss,ts-route-service-b6c59fb57-dz9bw,ts-price-service-76846864d9-nmjz7,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,ts-config-service-5fcd447d84-9qltf,ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,ts-travel-service-64469b5b48-5rjvb,ts-station-food-service-dc4d75dd-k65k2,ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,ts-contacts-service-866bd68c97-dzqgd,ts-assurance-service-69876c9868-wqgrl,ts-delivery-service-7d97b69596-gfnbr,ts-user-service-687d654649-f8jtd,ts-preserve-service-b5ccf8557-l5l4p,ts-execute-service-775f544d9-tmwcv,ts-inside-payment-service-6f94c49ccd-t4k6c,ts-payment-service-7fc6f5476f-pqwgt,ts-cancel-service-756f6c4675-prw5z
1675078732052,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1675078732060,0.5,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1675078732064,0.5,0,0.75,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1675078732070,0.5,0,0.75,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,,
1675078732077,0.5,0,0.75,0.875,0.875,0.0,,,,,,,,,,,,,,,,,,,,,,
1675078732755,0.5,0,0.75,0.875,0.875,0.875,0.0,,,,,,,,,,,,,,,,,,,,,
1675078732769,0.5,0,0.75,0.875,0.875,0.875,0.875,0.0,,,,,,,,,,,,,,,,,,,,
1675078732775,0.5,0,0.75,0.875,0.875,0.875,0.875,0.75,0.0,,,,,,,,,,,,,,,,,,,
1675078732783,0.5,0,0.75,0.875,0.875,0.875,0.875,0.75,0.875,0.0,,,,,,,,,,,,,,,,,,
1675078732815,0.5,0,0.75,0.875,0.875,0.875,0.875,0.75,0.875,0.875,,,,,,,,,,,,,,,,,,
1675078732819,0.5,0,0.75,0.875,0.875,0.875,0.875,1.5,0.875,0.875,,,,,,,,,,,,,,,,,,
1675078732824,0.5,0,0.75,0.875,0.875,0.875,0.875,1.5,2.125,0.875,,,,,,,,,,,,,,,,,,
1675078733046,0.5,0,0.75,0.875,0.875,0.875,0.875,1.5,2.125,2.125,0.0,,,,,,,,,,,,,,,,,
1675078733054,0.5,0,0.75,0.875,0.875,0.875,0.875,1.5,2.125,2.125,0.5,0.0,,,,,,,,,,,,,,,,
1675078733384,0.5,0,0.75,0.875,0.875,0.875,0.875,1.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733391,1.0,0,0.75,0.875,0.875,0.875,0.875,1.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733394,1.0,0,1.75,0.875,0.875,0.875,0.875,1.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733399,1.0,0,1.75,2.25,0.875,0.875,0.875,1.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733405,1.0,0,1.75,2.25,2.25,0.875,0.875,1.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733423,1.0,0,1.75,2.25,2.25,2.25,0.875,1.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733435,1.0,0,1.75,2.25,2.25,2.25,2.25,1.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733440,1.0,0,1.75,2.25,2.25,2.25,2.25,2.5,2.125,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733446,1.0,0,1.75,2.25,2.25,2.25,2.25,2.5,3.875,2.125,0.5,0.75,,,,,,,,,,,,,,,,
1675078733454,1.0,0,1.75,2.25,2.25,2.25,2.25,2.5,3.875,3.875,0.5,0.75,,,,,,,,,,,,,,,,
1675078733458,1.0,0,1.75,2.25,2.25,2.25,2.25,3.5,3.875,3.875,0.5,0.75,,,,,,,,,,,,,,,,
1675078733463,1.0,0,1.75,2.25,2.25,2.25,2.25,3.5,6.125,3.875,0.5,0.75,,,,,,,,,,,,,,,,
1675078733504,1.0,0,1.75,2.25,2.25,2.25,2.25,3.5,6.125,6.125,0.5,0.75,0.0,,,,,,,,,,,,,,,
1675078733510,1.0,0,1.75,2.25,2.25,2.25,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.0,,,,,,,,,,,,,,
1675078733523,1.0,0,1.75,2.25,2.25,2.25,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.75,0.0,,,,,,,,,,,,,
1675078733534,1.0,0,1.75,2.25,2.25,2.25,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.75,0.75,,,,,,,,,,,,,
1675078733556,1.0,0,1.75,2.25,2.25,3.125,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.75,0.75,0.0,,,,,,,,,,,,
1675078733608,1.0,0,1.75,2.25,2.25,3.125,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.0,,,,,,,,,,,
1675078733614,1.0,0,1.75,2.25,2.25,3.125,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.0,,,,,,,,,,
1675078733621,1.0,0,1.75,2.25,2.25,3.125,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.0,,,,,,,,,
1675078733636,1.0,0,1.75,2.25,2.25,3.125,2.25,3.5,6.125,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,,,,,,,,,
1675078733653,1.0,0,1.75,2.25,2.25,3.125,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.0,,,,,,,,
1675078733670,1.0,0,1.75,2.25,2.25,3.125,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733675,1.75,0,1.75,2.25,2.25,3.125,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733678,1.75,0,3.125,2.25,2.25,3.125,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733683,1.75,0,3.125,4.3125,2.25,3.125,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733686,1.75,0,3.125,6.375,2.25,3.125,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733691,1.75,0,3.125,6.375,4.3125,3.125,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733704,1.75,0,3.125,6.375,4.3125,5.1875,2.25,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733716,1.75,0,3.125,6.375,4.3125,5.1875,4.3125,3.5,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733721,1.75,0,3.125,6.375,4.3125,5.1875,4.3125,4.875,7.0,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733733,1.75,0,3.125,6.375,4.3125,5.1875,4.3125,4.875,9.9375,6.125,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733965,1.75,0,3.125,6.375,4.3125,5.1875,4.3125,4.875,9.9375,9.0625,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733969,1.75,0,3.125,6.375,4.3125,5.1875,4.3125,6.25,9.9375,9.0625,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078733997,1.75,0,3.125,6.375,4.3125,5.1875,4.3125,6.25,13.5625,9.0625,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734037,1.75,0,3.125,6.375,4.3125,5.1875,4.3125,6.25,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734040,1.75,0,3.875,6.375,4.3125,5.1875,4.3125,6.25,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734044,1.75,0,3.875,8.8125,4.3125,5.1875,4.3125,6.25,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734048,1.75,0,3.875,11.25,4.3125,5.1875,4.3125,6.25,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734056,1.75,0,3.875,11.25,6.75,5.1875,4.3125,6.25,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734066,1.75,0,3.875,11.25,6.75,7.625,4.3125,6.25,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734077,1.75,0,3.875,11.25,6.75,7.625,6.75,6.25,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734081,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,13.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734098,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,17.5625,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,,,,,,,,
1675078734114,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,0.0,,,,,,,
1675078734144,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,0.5,0.75,0.75,0.75,0.5,0.75,0.875,0.75,0.75,,,,,,,
1675078734159,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,0.75,0.75,0.5,0.75,0.875,0.75,0.75,0.0,,,,,,
1675078734163,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,0.75,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.0,,,,,
1675078734192,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,0.75,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734205,1.75,0,3.875,11.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734208,1.75,0,5.0,11.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734212,1.75,0,5.0,14.25,6.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734217,1.75,0,5.0,14.25,9.75,7.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734235,1.75,0,5.0,14.25,9.75,10.625,6.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734248,1.75,0,5.0,14.25,9.75,10.625,9.75,7.0,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734254,1.75,0,5.0,14.25,9.75,10.625,9.75,8.125,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,0.875,0.75,0.75,2.25,0.75,,,,,
1675078734261,1.75,0,5.0,14.25,9.75,10.625,9.75,8.125,18.3125,12.6875,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,5.4375,0.75,0.75,2.25,0.75,,,,,
1675078734299,1.75,0,5.0,14.25,9.75,10.625,9.75,8.125,18.3125,17.25,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,5.4375,0.75,0.75,2.25,0.75,,,,,
1675078734303,1.75,0,5.0,14.25,9.75,10.625,9.75,9.25,18.3125,17.25,0.5,0.75,1.25,0.75,1.25,0.75,0.5,0.75,5.4375,0.75,0.75,2.25,0.75,,,,,
