,ts-travel2-service-5c66d57d58-zxw8n,ts-gateway-service-6f6cfc45b-d9pnv,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,ts-train-service-86f5f97bc9-tlpss,ts-route-service-b6c59fb57-dz9bw,ts-price-service-76846864d9-nmjz7,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,ts-config-service-5fcd447d84-9qltf,ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,ts-travel-service-64469b5b48-5rjvb,ts-station-food-service-dc4d75dd-k65k2,ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,ts-contacts-service-866bd68c97-dzqgd,ts-assurance-service-69876c9868-wqgrl,ts-delivery-service-7d97b69596-gfnbr,ts-user-service-687d654649-f8jtd,ts-preserve-service-b5ccf8557-l5l4p,ts-execute-service-775f544d9-tmwcv,ts-inside-payment-service-6f94c49ccd-t4k6c,ts-payment-service-7fc6f5476f-pqwgt,ts-cancel-service-756f6c4675-prw5z
1675078732052,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1675078732060,0.22466448205861078,0.0,0.6123322410293054,,,,,,,,,,,,,,,,,,,,,,,,,
1675078732064,0.15059710595610104,0.0,0.4104585759958702,0.7052292879979352,,,,,,,,,,,,,,,,,,,,,,,,
1675078732070,0.08264944411079327,0.0,0.2252644426411178,0.38703803936757214,0.612632221320559,,,,,,,,,,,,,,,,,,,,,,,
1675078732077,0.041042499311949386,0.0,0.11186301168234201,0.19219740235817734,0.3042241577368758,0.555931505841171,,,,,,,,,,,,,,,,,,,,,,
1675078732755,1.4725427998827242e-31,0.0,4.01347567003727e-31,6.895752104363062e-31,1.0915102650568694e-30,1.994598160146736e-30,0.5,,,,,,,,,,,,,,,,,,,,,
1675078732769,3.6312458372515034e-32,0.0,9.897109150846954e-32,1.7004715330298895e-31,2.6916311747412066e-31,4.918618505756965e-31,0.12329848197080322,0.5,,,,,,,,,,,,,,,,,,,,
1675078732775,1.9928699690016202e-32,0.0,5.431648665677479e-32,9.332385641734431e-32,1.4771985087714162e-31,2.6993950694668506e-31,0.06766764161830635,0.2744058180470132,0.6372029090235066,,,,,,,,,,,,,,,,,,,
1675078732783,8.954541987918174e-33,0.0,2.4405970683975496e-32,4.1933111731429755e-32,6.637480757417668e-32,1.2129163903066617e-31,0.030405031312608976,0.12329848197080322,0.2863137230440124,0.5616492409854016,,,,,,,,,,,,,,,,,,
1675078732815,3.6500686704436538e-34,0.0,9.948411553102355e-34,1.709286053844156e-33,2.705583445363389e-33,4.944114531038436e-33,0.0012393760883331792,0.5050259178723168,0.011670778380525484,0.0228940609253415,,,,,,,,,,,,,,,,,,
