,ts-travel2-service-5c66d57d58-zxw8n,ts-gateway-service-6f6cfc45b-d9pnv,ts-basic-service-5dc8d4f9fd-llznp,ts-station-service-7f4f5f6f77-hp2zq,ts-train-service-86f5f97bc9-tlpss,ts-route-service-b6c59fb57-dz9bw,ts-price-service-76846864d9-nmjz7,ts-seat-service-5c95b49cff-mxdsg,ts-order-other-service-6cdbf9b4cc-swvb5,ts-config-service-5fcd447d84-9qltf,ts-auth-service-7f8d7d756d-kzp47,ts-verification-code-service-7b6dc75c45-r66rb,ts-food-service-f5756978c-6sb8t,ts-train-food-service-59bbbdd99b-cz98n,ts-travel-service-64469b5b48-5rjvb,ts-station-food-service-dc4d75dd-k65k2,ts-preserve-other-service-66646bdb5b-l8hp6,ts-security-service-cb9788d56-bdkcx,ts-order-service-5b67c48447-fj8b7,ts-contacts-service-866bd68c97-dzqgd,ts-assurance-service-69876c9868-wqgrl,ts-delivery-service-7d97b69596-gfnbr,ts-user-service-687d654649-f8jtd,ts-preserve-service-b5ccf8557-l5l4p,ts-execute-service-775f544d9-tmwcv,ts-inside-payment-service-6f94c49ccd-t4k6c,ts-payment-service-7fc6f5476f-pqwgt,ts-cancel-service-756f6c4675-prw5z
1675078732052,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1675078732060,0.22466448205861078,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1675078732064,0.150597105956101,0.0,0.4104585759958702,0.0,,,,,,,,,,,,,,,,,,,,,,,,
1675078732070,0.08264944411079327,0.0,0.2252644426411178,0.3663756783398738,0.0,,,,,,,,,,,,,,,,,,,,,,,
1675078732077,0.0410424993119494,0.0,0.111863011682342,0.18193677753018997,0.2939635329088884,0.0,,,,,,,,,,,,,,,,,,,,,,
1675078732755,1.4725427998827286e-31,0.0,4.013475670037259e-31,6.527616404392383e-31,1.0546966950598011e-30,1.9577845901496677e-30,0.0,,,,,,,,,,,,,,,,,,,,,
1675078732769,3.6312458372515143e-32,0.0,9.89710915084687e-32,1.6096903870986011e-31,2.6008500288099186e-31,4.827837359825677e-31,0.12329848197080322,0.0,,,,,,,,,,,,,,,,,,,,
1675078732775,1.9928699690016377e-32,0.0,5.431648665677464e-32,8.834168149484026e-32,1.4273767595463752e-31,2.6495733202418094e-31,0.06766764161830635,0.2744058180470132,0.0,,,,,,,,,,,,,,,,,,,
1675078732783,8.954541987918151e-33,0.0,2.4405970683975504e-32,3.969447623445021e-32,6.413617207719711e-32,1.1905300353368662e-31,0.030405031312608976,0.12329848197080322,0.28631372304401237,0.0,,,,,,,,,,,,,,,,,,
1675078732815,3.6500686704436876e-34,0.0,9.948411553102326e-34,1.618034337083065e-33,2.6143317286022968e-33,4.8528628142773435e-33,0.0012393760883331792,0.005025917872316788,0.011670778380525484,0.0228940609253415,,,,,,,,,,,,,,,,,,
1675078732819,2.4467141992050435e-34,0.0,6.668619690257e-34,1.0846008513207744e-33,1.752438964669114e-33,3.2529712250710126e-33,0.000830778636586967,0.3385289965173624,0.007823156701305584,0.015346347973417645,,,,,,,,,,,,,,,,,,
1675078732824,1.4840071773721027e-34,0.0,4.044722300104235e-34,6.578436698764731e-34,1.0629079613468821e-33,1.9730267831685345e-33,0.0005038927145242552,0.2053282155895316,0.4106744220461607,0.009308030560496635,,,,,,,,,,,,,,,,,,
1675078733046,3.3892101873942995e-44,0.0,9.237431081006763e-44,1.5023987091533781e-43,2.42749398101872e-43,4.506044563314056e-43,1.1508019283596495e-13,4.689333654489753e-11,9.379078188596362e-11,1.3976362360915087e-10,0.0,,,,,,,,,,,,,,,,,
1675078733054,1.5228703026774193e-44,0.0,4.1506453387330067e-44,6.750712556749403e-44,1.0907433558919349e-43,2.0246963358999488e-43,5.170886383739421e-14,2.107053433371904e-11,4.214291486856442e-11,6.279984421756919e-11,0.22466448205861078,0.0,,,,,,,,,,,,,,,,
